name,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,mass
Sun,0.,0.,0.,0.,0.,0.,132712440041.93938
Mercury,-2.105262107244070e7,-6.640663812253430e7,-3.492445946577720e6,3.665298704187096e1,-1.228983806940175e1,-4.368173036243590e0,22031.86855
Venus,-1.075055502719850e8,-3.366520666522362e6,6.159219789239045e6,8.891597859686224e-1,-3.515920774137907e1,-5.318594228644749e-1,324858.592
Earth,-2.627903751048988e7,1.445101984929515e8,3.025245352813601e4,2.983052803412253e1,-5.220465675237847e0,-1.014855999592612e4,398600.435436
Mars,2.079950549836171e8,-3.143009713942500e6,-5.178781243488785e6,1.295003552976381e0,2.629442066947002e1,5.190097459233893e-1,42828.375214
Jupiter,5.989091645401344e8,4.391225866604841e8,-1.523251063025475e7,-7.901937516136118e0,1.116317703172796e1,1.306732148714280e-1,126686531.900
Saturn,9.587063371733198e8,9.825652104588115e8,-5.522065631225652e7,-7.428885680409909e0,6.738814240733793e0,1.776643606866641e-1,37931206.234
Uranus,2.158774699724352e9,-2.054825151185744e9,-3.562361168065417e7,4.637648534301329e0,4.627193109110802e0,-4.285052612262108e-2,5793951.256
